Id,ProductId,UserId,Score,Time,Summary,Text,clean_text,sentiment,words,filtered_words
3613,B000HDMW9M,A3PD7QEJ8IL25Q,5,2012-02-08 00:00:00,mackerel,"""i have ordered mackerel several times on amazon and most pleased with SEASONS brand than any other. seems to me the fish are smaller therefore less mercury.<br />packed in olive oil is also a bonus. they are not as """"fishy"""" as others that i have tried. i eat them to get a healthy serving of omega 3. my 11 year old boy has taken a liking for them as well as my 14 year old daughter. we put a small chunk on a cracker and top with a ring of hot banana peppers.<a href=""""http://www.amazon.com/gp/product/B000HDMW9M"""">Season Fillets of Mackerel in Olive Oil",i have ordered mackerel several times on amazon and most pleased with seasons brand than any other seems to me the fish are smaller therefore less mercurybr packed in olive oil is also a bonus they are not as fishy as others that i have tried i eat them to get a healthy serving of omega 3 my 11 year old boy has taken a liking for them as well as my 14 year old daughter we put a small chunk on a cracker and top with a ring of hot banana peppersa hrefhttpwwwamazoncomgpproductb000hdmw9mseason fillets of mackerel in olive oil,Positive,"[""i"",""have"",""ordered"",""mackerel"",""several"",""times"",""on"",""amazon"",""and"",""most"",""pleased"",""with"",""seasons"",""brand"",""than"",""any"",""other"",""seems"",""to"",""me"",""the"",""fish"",""are"",""smaller"",""therefore"",""less"",""mercurybr"",""packed"",""in"",""olive"",""oil"",""is"",""also"",""a"",""bonus"",""they"",""are"",""not"",""as"",""fishy"",""as"",""others"",""that"",""i"",""have"",""tried"",""i"",""eat"",""them"",""to"",""get"",""a"",""healthy"",""serving"",""of"",""omega"",""3"",""my"",""11"",""year"",""old"",""boy"",""has"",""taken"",""a"",""liking"",""for"",""them"",""as"",""well"",""as"",""my"",""14"",""year"",""old"",""daughter"",""we"",""put"",""a"",""small"",""chunk"",""on"",""a"",""cracker"",""and"",""top"",""with"",""a"",""ring"",""of"",""hot"",""banana"",""peppersa"",""hrefhttpwwwamazoncomgpproductb000hdmw9mseason"",""fillets"",""of"",""mackerel"",""in"",""olive"",""oil""]","[""ordered"",""mackerel"",""several"",""times"",""amazon"",""pleased"",""seasons"",""brand"",""seems"",""fish"",""smaller"",""therefore"",""less"",""mercurybr"",""packed"",""olive"",""oil"",""also"",""bonus"",""fishy"",""others"",""tried"",""eat"",""get"",""healthy"",""serving"",""omega"",""3"",""11"",""year"",""old"",""boy"",""taken"",""liking"",""well"",""14"",""year"",""old"",""daughter"",""put"",""small"",""chunk"",""cracker"",""top"",""ring"",""hot"",""banana"",""peppersa"",""hrefhttpwwwamazoncomgpproductb000hdmw9mseason"",""fillets"",""mackerel"",""olive"",""oil""]"
4076,B001EW5YQS,A1T6EKXP0TNDQW,1,2011-10-22 00:00:00,Not for long term use,"""This product was awesome the first couple months, I was convinced I was over any potential """"defective period..."""" Well",this product was awesome the first couple months i was convinced i was over any potential defective period well,Negative,"[""this"",""product"",""was"",""awesome"",""the"",""first"",""couple"",""months"",""i"",""was"",""convinced"",""i"",""was"",""over"",""any"",""potential"",""defective"",""period"",""well""]","[""product"",""awesome"",""first"",""couple"",""months"",""convinced"",""potential"",""defective"",""period"",""well""]"
4506,B002TMV3E4,A224KM22RQ5CD4,3,2010-12-15 00:00:00,Decaf Option.. Mild Flavor,"I thought this would be a great decaf option, but the flavor is a lot milder than expected. I use a bit more than the recommended amount to coax more intense flavor. A bit better than instant for late night sippers like me.",i thought this would be a great decaf option but the flavor is a lot milder than expected i use a bit more than the recommended amount to coax more intense flavor a bit better than instant for late night sippers like me,Neutral,"[""i"",""thought"",""this"",""would"",""be"",""a"",""great"",""decaf"",""option"",""but"",""the"",""flavor"",""is"",""a"",""lot"",""milder"",""than"",""expected"",""i"",""use"",""a"",""bit"",""more"",""than"",""the"",""recommended"",""amount"",""to"",""coax"",""more"",""intense"",""flavor"",""a"",""bit"",""better"",""than"",""instant"",""for"",""late"",""night"",""sippers"",""like"",""me""]","[""thought"",""great"",""decaf"",""option"",""flavor"",""lot"",""milder"",""expected"",""use"",""bit"",""recommended"",""amount"",""coax"",""intense"",""flavor"",""bit"",""better"",""instant"",""late"",""night"",""sippers"",""like""]"
4727,B00139TT72,A2K54Q33OP6EJG,4,2011-08-24 00:00:00,Great alternative,"Great alternative to dog food with corn and other by-products. Our picky dogs enjoy this food and so do I, knowing<br />it is better their health.",great alternative to dog food with corn and other byproducts our picky dogs enjoy this food and so do i knowingbr it is better their health,Positive,"[""great"",""alternative"",""to"",""dog"",""food"",""with"",""corn"",""and"",""other"",""byproducts"",""our"",""picky"",""dogs"",""enjoy"",""this"",""food"",""and"",""so"",""do"",""i"",""knowingbr"",""it"",""is"",""better"",""their"",""health""]","[""great"",""alternative"",""dog"",""food"",""corn"",""byproducts"",""picky"",""dogs"",""enjoy"",""food"",""knowingbr"",""better"",""health""]"
4728,B00139TT72,AODWFJHMNL0FG,5,2011-07-15 00:00:00,Good quality,I feel good about the quality and mix it with canned PN food.  She doesn't care for it by itself but then she doesn't like any dry dogfood.,i feel good about the quality and mix it with canned pn food she doesnt care for it by itself but then she doesnt like any dry dogfood,Positive,"[""i"",""feel"",""good"",""about"",""the"",""quality"",""and"",""mix"",""it"",""with"",""canned"",""pn"",""food"",""she"",""doesnt"",""care"",""for"",""it"",""by"",""itself"",""but"",""then"",""she"",""doesnt"",""like"",""any"",""dry"",""dogfood""]","[""feel"",""good"",""quality"",""mix"",""canned"",""pn"",""food"",""doesnt"",""care"",""doesnt"",""like"",""dry"",""dogfood""]"
5109,B000FVW1B0,A1JH5EKCDJPXSH,5,2011-08-03 00:00:00,Yum yum!,"This oil is wonderful. I've had almond oil that was so strong it overwhelmed what I was using it for (salad, cooking).  I loved the flavor of this oil and will be buying more.",this oil is wonderful ive had almond oil that was so strong it overwhelmed what i was using it for salad cooking i loved the flavor of this oil and will be buying more,Positive,"[""this"",""oil"",""is"",""wonderful"",""ive"",""had"",""almond"",""oil"",""that"",""was"",""so"",""strong"",""it"",""overwhelmed"",""what"",""i"",""was"",""using"",""it"",""for"",""salad"",""cooking"",""i"",""loved"",""the"",""flavor"",""of"",""this"",""oil"",""and"",""will"",""be"",""buying"",""more""]","[""oil"",""wonderful"",""ive"",""almond"",""oil"",""strong"",""overwhelmed"",""using"",""salad"",""cooking"",""loved"",""flavor"",""oil"",""buying""]"
6243,B000E1HVW0,A1SPCNMKDO3UV5,5,2011-11-05 00:00:00,Encouragement.....YES,"""Delicious, easy and quick!  Kraft Shake 'N Bake BBQ Glaze for chicken and pork.<br /><br />Kraft BBQ Shake 'N Bake is a great option to """"traditional"""" BBQ recipes and brimming with flavor.  Perfect for company",delicious easy and quick kraft shake n bake bbq glaze for chicken and porkbr br kraft bbq shake n bake is a great option to traditional bbq recipes and brimming with flavor perfect for company,Positive,"[""delicious"",""easy"",""and"",""quick"",""kraft"",""shake"",""n"",""bake"",""bbq"",""glaze"",""for"",""chicken"",""and"",""porkbr"",""br"",""kraft"",""bbq"",""shake"",""n"",""bake"",""is"",""a"",""great"",""option"",""to"",""traditional"",""bbq"",""recipes"",""and"",""brimming"",""with"",""flavor"",""perfect"",""for"",""company""]","[""delicious"",""easy"",""quick"",""kraft"",""shake"",""n"",""bake"",""bbq"",""glaze"",""chicken"",""porkbr"",""br"",""kraft"",""bbq"",""shake"",""n"",""bake"",""great"",""option"",""traditional"",""bbq"",""recipes"",""brimming"",""flavor"",""perfect"",""company""]"
7218,B001RIXUS8,A2REMAWGATL67X,5,2012-01-21 00:00:00,yummy!,"This is a fantastic product, arrived fresh and it's a good price with subscribe and save. I will be keeping this subscription.",this is a fantastic product arrived fresh and its a good price with subscribe and save i will be keeping this subscription,Positive,"[""this"",""is"",""a"",""fantastic"",""product"",""arrived"",""fresh"",""and"",""its"",""a"",""good"",""price"",""with"",""subscribe"",""and"",""save"",""i"",""will"",""be"",""keeping"",""this"",""subscription""]","[""fantastic"",""product"",""arrived"",""fresh"",""good"",""price"",""subscribe"",""save"",""keeping"",""subscription""]"
7271,B00382UXU4,AAUICTIUBVU7R,5,2012-10-24 00:00:00,LARGE WHITE TASTY AND HULLESS IOWA POPCORN,"This is the wondeful white popcorn we ate in Iowa years ago! I am so glad to find it. And what a great price too!<br />I got it today and popped some right away. I used the microwave popcorn bowl I bought from Amazon, put a tablespoonful of extra virgin olive oil and two tablespoonsful of the popcorn in the bowl.<br />I placed the bowl, with lid on, in the MW and turned it on for 1 minute and then pushed the popcorn button to pop it.<br />After moving the popped corn to another bowl I shook the shaker with the popcorn seasoning several times and oh what a delicious hulless treat! The hulls seem to have vanished during the popping. I felt nor found any.<br />AND ALL OF THE ITEMS I USED, INCLUDING THE MICROWAVE, I BOUGHT FROM AMAZON.",this is the wondeful white popcorn we ate in iowa years ago i am so glad to find it and what a great price toobr i got it today and popped some right away i used the microwave popcorn bowl i bought from amazon put a tablespoonful of extra virgin olive oil and two tablespoonsful of the popcorn in the bowlbr i placed the bowl with lid on in the mw and turned it on for 1 minute and then pushed the popcorn button to pop itbr after moving the popped corn to another bowl i shook the shaker with the popcorn seasoning several times and oh what a delicious hulless treat the hulls seem to have vanished during the popping i felt nor found anybr and all of the items i used including the microwave i bought from amazon,Positive,"[""this"",""is"",""the"",""wondeful"",""white"",""popcorn"",""we"",""ate"",""in"",""iowa"",""years"",""ago"",""i"",""am"",""so"",""glad"",""to"",""find"",""it"",""and"",""what"",""a"",""great"",""price"",""toobr"",""i"",""got"",""it"",""today"",""and"",""popped"",""some"",""right"",""away"",""i"",""used"",""the"",""microwave"",""popcorn"",""bowl"",""i"",""bought"",""from"",""amazon"",""put"",""a"",""tablespoonful"",""of"",""extra"",""virgin"",""olive"",""oil"",""and"",""two"",""tablespoonsful"",""of"",""the"",""popcorn"",""in"",""the"",""bowlbr"",""i"",""placed"",""the"",""bowl"",""with"",""lid"",""on"",""in"",""the"",""mw"",""and"",""turned"",""it"",""on"",""for"",""1"",""minute"",""and"",""then"",""pushed"",""the"",""popcorn"",""button"",""to"",""pop"",""itbr"",""after"",""moving"",""the"",""popped"",""corn"",""to"",""another"",""bowl"",""i"",""shook"",""the"",""shaker"",""with"",""the"",""popcorn"",""seasoning"",""several"",""times"",""and"",""oh"",""what"",""a"",""delicious"",""hulless"",""treat"",""the"",""hulls"",""seem"",""to"",""have"",""vanished"",""during"",""the"",""popping"",""i"",""felt"",""nor"",""found"",""anybr"",""and"",""all"",""of"",""the"",""items"",""i"",""used"",""including"",""the"",""microwave"",""i"",""bought"",""from"",""amazon""]","[""wondeful"",""white"",""popcorn"",""ate"",""iowa"",""years"",""ago"",""glad"",""find"",""great"",""price"",""toobr"",""got"",""today"",""popped"",""right"",""away"",""used"",""microwave"",""popcorn"",""bowl"",""bought"",""amazon"",""put"",""tablespoonful"",""extra"",""virgin"",""olive"",""oil"",""two"",""tablespoonsful"",""popcorn"",""bowlbr"",""placed"",""bowl"",""lid"",""mw"",""turned"",""1"",""minute"",""pushed"",""popcorn"",""button"",""pop"",""itbr"",""moving"",""popped"",""corn"",""another"",""bowl"",""shook"",""shaker"",""popcorn"",""seasoning"",""several"",""times"",""oh"",""delicious"",""hulless"",""treat"",""hulls"",""seem"",""vanished"",""popping"",""felt"",""found"",""anybr"",""items"",""used"",""including"",""microwave"",""bought"",""amazon""]"
7520,B000OIWY8Y,A2VYHKP93PS8XD,5,2008-01-06 00:00:00,A tea both my wife and I agree is heavenly.,"""The written description of this tea was good enough to get me to put it on my wish list this xmas. My wife prefers the sweeter fruitier teas, such as Republic of Tea's Kiwi Pear, and I generally go for traditional blacks, Prince of Wales, Oolongs, etc. But this tea is perfect for both of us! I always liked good vanilla teas, and some coconut teas always blew me away as well. Our pals at Steep Tea still make some of the best teas in around, so we were pretty game to try this Lana's tea - it always feels good to try out teas by the 'small guys'.<br /><br />Anyway, there was this unbelievably great aroma to this tea that we couldn't pin down until one of our pals pointed out """"This smells like Bailey's!"""" Bingo. Need I go on?""",the written description of this tea was good enough to get me to put it on my wish list this xmas my wife prefers the sweeter fruitier teas such as republic of teas kiwi pear and i generally go for traditional blacks prince of wales oolongs etc but this tea is perfect for both of us i always liked good vanilla teas and some coconut teas always blew me away as well our pals at steep tea still make some of the best teas in around so we were pretty game to try this lanas tea it always feels good to try out teas by the small guysbr br anyway there was this unbelievably great aroma to this tea that we couldnt pin down until one of our pals pointed out this smells like baileys bingo need i go on,Positive,"[""the"",""written"",""description"",""of"",""this"",""tea"",""was"",""good"",""enough"",""to"",""get"",""me"",""to"",""put"",""it"",""on"",""my"",""wish"",""list"",""this"",""xmas"",""my"",""wife"",""prefers"",""the"",""sweeter"",""fruitier"",""teas"",""such"",""as"",""republic"",""of"",""teas"",""kiwi"",""pear"",""and"",""i"",""generally"",""go"",""for"",""traditional"",""blacks"",""prince"",""of"",""wales"",""oolongs"",""etc"",""but"",""this"",""tea"",""is"",""perfect"",""for"",""both"",""of"",""us"",""i"",""always"",""liked"",""good"",""vanilla"",""teas"",""and"",""some"",""coconut"",""teas"",""always"",""blew"",""me"",""away"",""as"",""well"",""our"",""pals"",""at"",""steep"",""tea"",""still"",""make"",""some"",""of"",""the"",""best"",""teas"",""in"",""around"",""so"",""we"",""were"",""pretty"",""game"",""to"",""try"",""this"",""lanas"",""tea"",""it"",""always"",""feels"",""good"",""to"",""try"",""out"",""teas"",""by"",""the"",""small"",""guysbr"",""br"",""anyway"",""there"",""was"",""this"",""unbelievably"",""great"",""aroma"",""to"",""this"",""tea"",""that"",""we"",""couldnt"",""pin"",""down"",""until"",""one"",""of"",""our"",""pals"",""pointed"",""out"",""this"",""smells"",""like"",""baileys"",""bingo"",""need"",""i"",""go"",""on""]","[""written"",""description"",""tea"",""good"",""enough"",""get"",""put"",""wish"",""list"",""xmas"",""wife"",""prefers"",""sweeter"",""fruitier"",""teas"",""republic"",""teas"",""kiwi"",""pear"",""generally"",""go"",""traditional"",""blacks"",""prince"",""wales"",""oolongs"",""etc"",""tea"",""perfect"",""us"",""always"",""liked"",""good"",""vanilla"",""teas"",""coconut"",""teas"",""always"",""blew"",""away"",""well"",""pals"",""steep"",""tea"",""still"",""make"",""best"",""teas"",""around"",""pretty"",""game"",""try"",""lanas"",""tea"",""always"",""feels"",""good"",""try"",""teas"",""small"",""guysbr"",""br"",""anyway"",""unbelievably"",""great"",""aroma"",""tea"",""couldnt"",""pin"",""one"",""pals"",""pointed"",""smells"",""like"",""baileys"",""bingo"",""need"",""go""]"
